transaction_id,employee_id,vendor_id,vendor_name,transaction_date,amount,receipt_id
TXN_100000,EMP_107,001,V_001_Uber,2023-07-03,33.66,REC_2875
TXN_100001,EMP_127,005,V_005_WeWork,2023-05-21,261.39,REC_5110
TXN_100002,EMP_148,001,V_001_Uber,2023-01-07,45.28,REC_8561
TXN_100003,EMP_138,003,V_003_AWS,2023-07-07,745.44,REC_3509
TXN_100004,EMP_117,004,V_004_Staples,2023-07-27,107.33,REC_8345
TXN_100005,EMP_139,004,V_004_Staples,2023-11-20,190.34,REC_1891
TXN_100006,EMP_147,005,V_005_WeWork,2023-02-10,113.71,REC_5784
TXN_100007,EMP_133,004,V_004_Staples,2023-06-20,256.76,REC_1756
TXN_100008,EMP_149,001,V_001_Uber,2023-06-20,38.14,REC_1573
TXN_100009,EMP_117,001,V_001_Uber,2023-09-28,29.14,REC_2992
TXN_100010,EMP_138,004,V_004_Staples,2023-08-22,58.34,REC_7311
TXN_100011,EMP_147,004,V_004_Staples,2023-04-19,111.81,REC_1474
TXN_100012,EMP_106,005,V_005_WeWork,2023-03-21,185.94,REC_4118
TXN_100013,EMP_149,004,V_004_Staples,2023-07-04,94.4,REC_7664
TXN_100014,EMP_133,005,V_005_WeWork,2023-08-15,340.63,REC_3501
TXN_100015,EMP_128,002,V_002_DeltaAirlines,2023-07-17,103.65,REC_4095
TXN_100016,EMP_127,002,V_002_DeltaAirlines,2023-01-27,124.81,REC_6696
TXN_100017,EMP_146,003,V_003_AWS,2023-06-03,690.36,REC_6629
TXN_100018,EMP_137,005,V_005_WeWork,2023-09-13,167.98,REC_8458
TXN_100019,EMP_126,002,V_002_DeltaAirlines,2023-05-07,117.91,REC_1156
TXN_100020,EMP_142,002,V_002_DeltaAirlines,2023-01-25,263.3,REC_6362
TXN_100021,EMP_118,003,V_003_AWS,2023-09-20,1026.06,REC_4312
TXN_100022,EMP_109,004,V_004_Staples,2023-09-25,362.03,REC_9488
TXN_100023,EMP_117,005,V_005_WeWork,2023-06-06,244.76,REC_9694
TXN_100024,EMP_138,005,V_005_WeWork,2023-12-03,116.46,REC_8747
TXN_100025,EMP_128,004,V_004_Staples,2023-06-12,260.53,REC_6857
TXN_100026,EMP_136,002,V_002_DeltaAirlines,2023-02-11,94.66,REC_1342
TXN_100027,EMP_104,002,V_002_DeltaAirlines,2023-11-22,369.57,REC_3659
TXN_100028,EMP_137,001,V_001_Uber,2023-05-11,58.2,REC_1641
TXN_100029,EMP_106,005,V_005_WeWork,2023-03-10,363.3,REC_5234
TXN_100030,EMP_143,002,V_002_DeltaAirlines,2023-02-21,169.03,REC_7074
TXN_100031,EMP_142,001,V_001_Uber,2023-02-07,71.45,REC_5665
TXN_100032,EMP_146,004,V_004_Staples,2023-04-24,144.73,REC_1331
TXN_100033,EMP_135,002,V_002_DeltaAirlines,2023-04-18,349.82,REC_2872
TXN_100034,EMP_132,003,V_003_AWS,2023-09-30,551.26,REC_4390
TXN_100035,EMP_145,004,V_004_Staples,2023-03-19,209.23,REC_5002
TXN_100036,EMP_135,002,V_002_DeltaAirlines,2023-03-26,197.7,REC_2072
TXN_100037,EMP_141,003,V_003_AWS,2023-04-25,1687.9,REC_1023
TXN_100038,EMP_115,003,V_003_AWS,2023-04-20,1511.75,REC_6450
